Date,Volume (Billion),Low (EUR),High (EUR)
2019-04-05,16.837325387,4279.95777813,4396.55349642
2019-04-06,16.929795193,4343.23328616,4529.0649459900005
2019-04-07,16.65541614,4393.85853483,4554.612275009999
2019-04-08,17.154113634,4478.94436518,4627.38769062
2019-04-09,14.722104361,4495.65448215,4602.22863303
2019-04-10,15.504590933,4518.24262188,4716.83668929
2019-04-11,16.555616019,4365.047856689999,4658.176259819999
2019-04-12,13.675206312,4311.59170893,4439.84874018
2019-04-13,10.823289598,4403.58273885,4460.5962009
2019-04-14,10.391952498,4396.604472330001,4510.09401831
2019-04-15,12.29015506,4370.94032232,4521.04803258
2019-04-16,11.618660197,4398.01949688,4557.88242231
2019-04-17,12.438480676,4540.70884242,4588.619590169999
2019-04-18,13.256489918,4567.940947319999,4628.38810536
2019-04-19,13.780238655,4553.0018406300005,4642.91175312
2019-04-20,13.169647522,4607.4137991,4661.88692901
2019-04-21,13.731844222,4573.88523885,4663.13458035
2019-04-22,14.601631647,4593.8408638500005,4717.738125
2019-04-23,15.867308107,4688.78556117,4901.40795402
2019-04-24,17.048033399,4713.88897008,4908.57865758
2019-04-25,15.330283408,4507.764814290001,4821.74730447
2019-04-26,16.812108039,4504.31072724,4683.76182099
2019-04-27,13.111274675,4553.26309554,4620.3525
2019-04-28,12.819992055,4572.44472678,4633.82178258
2019-04-29,13.735490672,4538.3443799100005,4620.80916474
2019-04-30,13.878964573,4545.04524867,4666.03387188
2019-05-01,13.679528236,4652.45201652,4713.66339822
2019-05-02,14.644460907,4692.96903795,4804.36854465
2019-05-03,18.720780005,4776.475444199999,5103.31719732
2019-05-04,17.567780765,4911.5582370600005,5121.59739285
2019-05-05,14.808830722,4965.99058572,5075.4606299100005
2019-05-06,15.737171804,4918.708125,5048.5730424
2019-05-07,18.026409032,4995.01451652,5209.71505401
2019-05-08,15.320605299,5041.4027634,5211.283432589999
2019-05-09,16.78464541,5204.61527322,5379.24398481
2019-05-10,19.419875367,5360.52156741,5598.11737812
2019-05-11,28.867562329,5546.8578951,6379.7125491
2019-05-12,27.773333679,5929.720766519999,6528.3687009000005
2019-05-13,28.677672181,6001.505537489999,7001.249384819999
2019-05-14,32.031452226,6695.86026831,7193.780215169999
2019-05-15,28.344112919,6872.22303258,7148.288730360001
2019-05-16,33.167197581,6724.75930626,7239.11707053
2019-05-17,30.066644905,6123.16832544,6898.35659196
2019-05-18,21.354286561,6308.80882365,6479.1266165100005
2019-05-19,25.902422039,6323.12771517,7187.88902322
2019-05-20,23.843404339,6680.54011206,7134.8419625100005
2019-05-21,25.127245056,6823.70566428,7014.08613303
2019-05-22,24.719473174,6625.90895535,6957.92270535
2019-05-23,24.45710782,6553.8811959899995,6911.098608480001
2019-05-24,25.91912699,6807.2703951,7082.42616249
2019-05-25,22.256813106,6930.3991843799995,7062.5954294699995
2019-05-26,26.677970091,6894.4632567,7558.14284196
2019-05-27,27.949839563,7541.77341786,7749.242080350001
2019-05-28,24.226919266,7512.207861600001,7662.10444374
2019-05-29,23.473479966,7379.973808919999,7617.591708929999
2019-05-30,29.246528551,7152.5078910600005,7837.2335741100005
2019-05-31,25.365190957,7110.11917947,7470.393486600001
2019-06-01,22.488303543,7378.97296875,7504.272509820001
2019-06-02,20.266216022,7448.27475624,7664.09422857
2019-06-03,22.004511436,7137.6414258899995,7606.845
2019-06-04,24.609731548,6581.1052299,7143.557256239999
2019-06-05,21.760923463,6671.741557589999,6874.60873527
2019-06-06,19.474611077,6587.17993617,6905.4865134
2019-06-07,19.14142323,6775.88497545,7069.7533884
2019-06-08,16.522722809,6818.7214308,7026.89526831
2019-06-09,16.610726547,6597.4011624899995,6939.097485269999
2019-06-10,18.689275117,6600.455932589999,6987.7614111600005
2019-06-11,17.107279931,6762.339228569999,6982.962817410001
2019-06-12,19.034432883,6840.25308081,7131.084141060001
2019-06-13,18.669407147,7035.7431004499995,7231.06362321
2019-06-14,19.831162905,7119.5519674199995,7578.25394553
2019-06-15,18.371033226,7498.00409196,7707.441299100001
2019-06-16,23.34855031,7668.664277669999,8122.20445356
2019-06-17,15.562951918,7820.363730360001,8192.27428749
2019-06-18,15.848210535,7834.26418929,8133.08540001
2019-06-19,15.546809946,7891.244091959999,8090.67035178
2019-06-20,17.846823783,8032.26140625,8347.145332139999
2019-06-21,20.624008643,8286.81457053,8825.76427767
2019-06-22,29.99520486,8793.12058572,9706.89076161
2019-06-23,20.998326501,9183.80326161,9784.14574197
2019-06-24,19.271652364,9231.072128580001,9627.329941080001
2019-06-25,24.879684533,9576.26586876,10258.09778304
2019-06-26,45.105733173,10227.36996072,12002.945654460002
2019-06-27,39.977475222,9127.91170893,11580.69574197
2019-06-28,35.087757765,9495.61075179,10827.30208035
2019-06-29,29.923961127,10012.28964822,10788.79183572
2019-06-30,27.256473494,9395.13764643,10595.193896429999
2019-07-01,29.378589324,8777.70357411,9749.602324110001
2019-07-02,31.015895222,8471.95974642,9493.60397499
2019-07-03,30.796494293,9411.7959375,10412.22796875
2019-07-04,25.920294033,9714.915322320001,10445.28541965
2019-07-05,23.83848021,9461.21941428,9914.22518571
2019-07-06,21.092024306,9554.81323215,10110.23941428
2019-07-07,19.369044276,9699.46007856,10041.209501790001
2019-07-08,23.482551458,9912.23540001,10740.87471696
2019-07-09,28.167921522,10642.93769553,11117.84469732
2019-07-10,33.627574244,10188.55130892,11422.690488389999
2019-07-11,28.59532769,9708.26288124,10565.82205089
2019-07-12,23.534692796,9725.85574197,10357.77395535
2019-07-13,21.042616383,9490.37715804,10302.50261697
2019-07-14,22.486000001,8904.081269639999,9962.54756874
2019-07-15,25.384047206,8693.04594732,9615.90694374
2019-07-16,24.151199069,8219.85260715,9567.07054731
2019-07-17,24.569921548,7971.927246419999,8667.927246419998
2019-07-18,25.187024648,8157.814980360001,9341.05321251
2019-07-19,20.727426309,8899.77714822,9323.77300803
2019-07-20,20.206615154,9092.61043929,9612.336034830001
2019-07-21,17.130580467,9038.951659830002,9432.44229465
2019-07-22,16.334414913,8834.78203125,9267.058183919999
2019-07-23,17.851916994,8598.72741249,9001.670800889999
2019-07-24,17.398734321,8364.446777669998,8620.653281249999
2019-07-25,15.82195209,8503.34261697,8834.20089822
2019-07-26,14.495714483,8454.64470714,8627.370292860001
2019-07-27,16.817809536,8188.02369108,8845.56867231
