,Date,Volume,LowEuro,HighEuro
1523,2018-11-18,4159680000,4836.9740035800005,4918.640580810001
1524,2018-11-19,7039560000,4213.33183572,4890.07841295
1525,2018-11-20,8428290000,3716.7355808100006,4307.90058081
1526,2018-11-21,6120120000,3779.2625826,4067.8850826000003
1527,2018-11-22,4569370000,3798.1069191899996,4027.7869191899995
1528,2018-11-23,4871490000,3650.24175312,3824.88533214
1529,2018-11-24,4679500000,3301.7891234399995,3839.38816428
1530,2018-11-25,6825640000,3119.0022513300005,3585.1570017900003
1531,2018-11-26,6476900000,3170.21033214,3573.2119191899997
1532,2018-11-27,5998720000,3185.0787087,3360.77516607
1533,2018-11-28,7280280000,3325.54887477,3815.73291474
1534,2018-11-29,6503347767,3606.8156691899994,3839.3278419599997
1535,2018-11-30,6048016716,3430.25515827,3760.9896098100003
1536,2018-12-01,5375314093,3453.64830291,3749.1583736699995
1537,2018-12-02,5262697895,3576.5513089199994,3742.32199197
1538,2018-12-03,5089570993,3341.18827143,3615.7021580400005
1539,2018-12-04,5028069239,3334.4925,3545.79608682
1540,2018-12-05,5302481573,3265.9755395099996,3453.49622343
1541,2018-12-06,5878333109,3063.35857209,3371.22047568
1542,2018-12-07,6835615448,2853.7990212,3055.95358884
1543,2018-12-08,5305024497,2915.06605245,3050.25780759
1544,2018-12-09,4947372847,3018.11198706,3206.21592768
1545,2018-12-10,5020968740,3019.02574197,3173.1792924
1546,2018-12-11,4696765187,2951.2575,3056.4710013300005
1547,2018-12-12,4139364828,2969.7288571500003,3074.77880892
1548,2018-12-13,4343372456,2869.3749095999997,3036.0733667400004
1549,2018-12-14,4372763663,2789.69174532,2896.71363996
1550,2018-12-15,3551763561,2776.4340162900003,2849.5787991
1551,2018-12-16,3744248994,2813.4232468799996,2876.00526138
1552,2018-12-17,5409247918,2830.21705089,3130.1886330299994
1553,2018-12-18,5911325472,3033.83719443,3220.17394755
1554,2018-12-19,6810689118,3207.8900825999995,3435.9110082599996
1555,2018-12-20,8927129279,3244.20790983,3646.368808919999
1556,2018-12-21,7206015706,3350.3232714299997,3652.63382856
1557,2018-12-22,5605823232,3354.4929421800002,3492.3388767900005
1558,2018-12-23,6151275489,3459.47301294,3554.5795607099994
1559,2018-12-24,7240968501,3480.2886546899995,3716.4594576
1560,2018-12-25,6158207293,3271.2178419599995,3557.91852501
1561,2018-12-26,5326547918,3279.7814799000002,3387.2228685299997
1562,2018-12-27,5130222366,3171.5401828199997,3370.74278304
1563,2018-12-28,5631554348,3169.0899096,3441.83830782
1564,2018-12-29,4991655917,3323.7555611699995,3448.47014643
1565,2018-12-30,4770578574,3303.58073706,3394.6607743199997
1566,2018-12-31,4661840806,3241.50466584,3365.8063404
1567,2019-01-01,4324200990,3225.2911448699997,3350.29502166
1568,2019-01-02,5244856835,3321.14619888,3434.7436448699996
1569,2019-01-03,4530215218,3328.813923,3424.0460013300003
1570,2019-01-04,4847965467,3291.9527712,3363.3630759000002
1571,2019-01-05,5137609823,3338.10312702,3397.2656761199996
1572,2019-01-06,5597027439,3329.0664700800003,3561.16870581
1573,2019-01-07,5228625637,3498.17781741,3560.5737667500002
1574,2019-01-08,5306593305,3477.35113014,3574.84826652
1575,2019-01-09,5115905224,3499.71667254,3539.5111006800003
1576,2019-01-10,6874143795,3183.48186807,3535.7379855000004
1577,2019-01-11,5538712864,3178.17074688,3231.07719732
1578,2019-01-12,4778170882,3178.8153881699996,3218.11109577
1579,2019-01-13,4681302465,3084.08670402,3197.0412087
1580,2019-01-14,5651384489,3090.4880857200005,3243.21747834
1581,2019-01-15,5537192301,3149.3558205299996,3236.5333884
1582,2019-01-16,5394457144,3153.4658058,3206.626077
1583,2019-01-17,5464420383,3151.10601606,3201.7183078199996
1584,2019-01-18,5002961726,3164.2603055699997,3203.7924174000004
1585,2019-01-19,5955691379,3177.5687990999995,3269.9240988899996
1586,2019-01-20,5582489559,3117.22699197,3256.7475069300003
1587,2019-01-21,5004347059,3095.92728483,3139.6915134
1588,2019-01-22,5313623556,3079.5576493199997,3150.0495263400003
1589,2019-01-23,5433755648,3101.82314955,3152.06904777
1590,2019-01-24,5262869046,3105.1107125099998,3145.99603974
1591,2019-01-25,5265847538,3110.7697484399996,3143.24712858
1592,2019-01-26,5098183234,3126.21097389,3179.79180135
1593,2019-01-27,5570752966,3103.5038895,3143.02410669
1594,2019-01-28,6908930483,2992.1326317000003,3120.4733499900003
1595,2019-01-29,5897159492,2958.71324688,3024.1769240999997
1596,2019-01-30,5955112626,2983.56750693,3040.80208035
1597,2019-01-31,5831198270,2999.6867207699997,3049.18029084
1598,2019-02-01,5422926707,2985.48465111,3046.70006874
1599,2019-02-02,5071623600,3016.78999509,3065.25999798
1600,2019-02-03,5043937583,2999.6941549199996,3063.6077200800005
1601,2019-02-04,5332718886,2995.05061518,3024.31477299
1602,2019-02-05,5227549544,3003.18520044,3025.98892791
1603,2019-02-06,5482196037,2956.7519240999995,3018.10986339
1604,2019-02-07,5004962682,2952.97010022,2982.31263459
1605,2019-02-08,7735623101,2950.19060334,3215.18419218
1606,2019-02-09,6158833644,3172.50661362,3201.5490232200004
1607,2019-02-10,6282256902,3167.6525825999997,3214.6814357099997
1608,2019-02-11,6277056433,3168.7904225400002,3215.1833421899996
1609,2019-02-12,6480384531,3148.1444899499998,3191.67061518
1610,2019-02-13,6438903822,3147.0043140600005,3192.6795263400004
1611,2019-02-14,6271044417,3138.69704598,3172.24323504
1612,2019-02-15,6091952230,3139.13969241,3173.5817944199994
1613,2019-02-16,5934744051,3145.28512968,3177.9719388300005
1614,2019-02-17,7039512502,3148.6884522299997,3202.06749798
1615,2019-02-18,9908216640,3192.88470714,3424.89858393
1616,2019-02-19,9933626654,3400.0931761199995,3489.4650736500002
1617,2019-02-20,8693373948,3415.83473862,3480.42310536
1618,2019-02-21,7775128102,3427.89409398,3488.70828327
1619,2019-02-22,7826525254,3437.21027322,3485.6883470999996
1620,2019-02-23,8922258315,3452.79232209,3624.6689357099995
1621,2019-02-24,10794227451,3300.52681608,3663.2581937400005
1622,2019-02-25,9318796066,3312.0921236699996,3404.9253292500002
1623,2019-02-26,7931218996,3339.04810536,3385.67360559
1624,2019-02-27,8301309684,3294.74118906,3383.2581663
1625,2019-02-28,8399767798,3345.86452143,3398.2707644999996
1626,2019-03-01,7661247975,3350.9723732099997,3399.7820067000002
1627,2019-03-02,7578786075,3333.9512990999997,3370.90845714
1628,2019-03-03,7253558152,3338.1080129399998,3371.67076941
1629,2019-03-04,9029175787,3248.36228772,3364.62219732
1630,2019-03-05,10174126414,3258.3093013499997,3396.4075707599995
1631,2019-03-06,9175291528,3368.17080291,3409.9741332599997
1632,2019-03-07,9584165518,3387.87834219,3427.2547631699995
1633,2019-03-08,10638638944,3371.44880892,3436.8759522299997
1634,2019-03-09,10796103518,3386.3796314700003,3468.89687991
1635,2019-03-10,9713267606,3414.21156048,3450.5716549199997
1636,2019-03-11,10125901902,3383.63794218,3450.7547464199997
1637,2019-03-12,9809887079,3361.29640134,3416.3935692
1638,2019-03-13,9469184841,3385.95673839,3416.13996072
1639,2019-03-14,10480789569,3394.12828125,3433.4588236500003
1640,2019-03-15,9394210604,3405.19338147,3452.63238303
1641,2019-03-16,9856166973,3446.64199977,3547.0216479900005
1642,2019-03-17,8221625399,3485.5776857099995,3527.0862009
1643,2019-03-18,9646954186,3487.9319535600002,3542.2542776699997
1644,2019-03-19,9344919956,3500.716875,3551.52797568
1645,2019-03-20,10175916388,3507.0664308,3557.83186518
1646,2019-03-21,10831212661,3484.4816892900003,3564.7030808100003
1647,2019-03-22,9252935969,3498.7419575999998,3526.8988620600003
1648,2019-03-23,9578850549,3493.889202,3523.39783416
1649,2019-03-24,9144851064,3485.3877977700004,3515.40874509
1650,2019-03-25,10359818882,3422.6071875,3513.7915134000004
1651,2019-03-26,10707678814,3431.93526138,3467.02030557
1652,2019-03-27,10897131934,3460.69517589,3555.74756094
1653,2019-03-28,9353915899,3515.03173059,3562.5648269999997
1654,2019-03-29,10918665556,3509.66453616,3578.7458499900004
1655,2019-03-30,9732688060,3526.90141116,3738.2217776699995
1656,2019-03-31,9045122442,3561.8677221,3578.3303910600002
1657,2019-04-01,10157794170,3564.3041892900005,3623.50921875
1658,2019-04-02,21315047816,3615.12569865,4268.1804933
1659,2019-04-03,22899891582,4242.66035178,4617.09297366
1660,2019-04-04,18251810239,4208.01073215,4404.9489111600005
1661,2019-04-05,16837325387,4279.95777813,4396.55349642
1662,2019-04-06,16929795193,4343.23328616,4529.0649459900005
1663,2019-04-07,16655416140,4393.85853483,4554.612275009999
1664,2019-04-08,17154113634,4478.94436518,4627.38769062
1665,2019-04-09,14722104361,4495.65448215,4602.22863303
1666,2019-04-10,15504590933,4518.24262188,4716.83668929
1667,2019-04-11,16555616019,4365.047856689999,4658.176259819999
1668,2019-04-12,13675206312,4311.59170893,4439.84874018
1669,2019-04-13,10823289598,4403.58273885,4460.5962009
1670,2019-04-14,10391952498,4396.604472330001,4510.09401831
1671,2019-04-15,12290155060,4370.94032232,4521.04803258
1672,2019-04-16,11618660197,4398.01949688,4557.88242231
1673,2019-04-17,12438480676,4540.70884242,4588.619590169999
1674,2019-04-18,13256489918,4567.940947319999,4628.38810536
1675,2019-04-19,13780238655,4553.0018406300005,4642.91175312
1676,2019-04-20,13169647522,4607.4137991,4661.88692901
1677,2019-04-21,13731844222,4573.88523885,4663.13458035
1678,2019-04-22,14601631647,4593.8408638500005,4717.738125
1679,2019-04-23,15867308107,4688.78556117,4901.40795402
1680,2019-04-24,17048033399,4713.88897008,4908.57865758
1681,2019-04-25,15330283408,4507.764814290001,4821.74730447
1682,2019-04-26,16812108039,4504.31072724,4683.76182099
1683,2019-04-27,13111274675,4553.26309554,4620.3525
1684,2019-04-28,12819992055,4572.44472678,4633.82178258
